InvoiceNo,InvoiceDate,FwdInvoiceRefNo,StockReceiptDate,UOM,QtyCases,QtyUnits,Rate,Amount,TaxableAmount
732,02-10-2022,,02-10-2022,30,10,0,370.54,3705.36,3705.36
733,02-10-2022,,02-10-2022,12,7,0,765.18,5356.25,5356.25
734,02-10-2022,,02-10-2022,24,110,0,148.31,16313.56,16313.56
735,02-10-2022,,02-10-2022,24,60,0,148.31,8898.31,8898.31
736,02-10-2022,,02-10-2022,24,230,0,148.31,34110.17,34110.17
737,02-10-2022,,02-10-2022,24,200,0,148.31,29661.02,29661.02
738,02-10-2022,,02-10-2022,24,250,0,148.31,37076.27,37076.27
739,02-10-2022,,02-10-2022,24,72,0,148.31,10677.97,10677.97
740,02-10-2022,,02-10-2022,30,17,0,370.54,6299.11,6299.11
741,02-10-2022,,02-10-2022,24,40,0,278.57,11142.86,11142.86
742,02-10-2022,,02-10-2022,30,150,0,351.43,52714.29,52714.29
743,02-10-2022,,02-10-2022,30,200,0,351.43,70285.71,70285.71
744,02-10-2022,,02-10-2022,30,100,0,351.43,35142.86,35142.86
745,02-10-2022,,02-10-2022,24,40,0,264.29,10571.43,10571.43
746,02-10-2022,,02-10-2022,30,100,0,351.43,35142.86,35142.86
747,02-10-2022,,02-10-2022,30,105,0,351.43,36900,36900
748,02-10-2022,,02-10-2022,24,50,0,264.29,13214.29,13214.29
749,02-10-2022,,02-10-2022,30,100,0,351.43,35142.86,35142.86
750,02-10-2022,,02-10-2022,24,40,0,278.57,11142.86,11142.86
751,02-10-2022,,02-10-2022,24,40,0,264.29,10571.43,10571.43
752,02-10-2022,,02-10-2022,24,50,0,264.29,13214.29,13214.29
753,02-10-2022,,02-10-2022,30,10,0,370.54,3705.36,3705.36
754,02-10-2022,,02-10-2022,24,50,0,546.79,27339.29,27339.29
755,02-10-2022,,02-10-2022,30,15,0,370.54,5558.04,5558.04
756,02-10-2022,,02-10-2022,12,710,0,105.08,74610.17,74610.17
757,02-10-2022,,02-10-2022,12,710,0,105.08,74610.17,74610.17
758,02-10-2022,,02-10-2022,12,740,0,105.08,77762.71,77762.71
759,02-10-2022,,02-10-2022,12,680,0,105.08,71457.63,71457.63
760,02-10-2022,,02-10-2022,12,680,0,105.93,72033.9,72033.9
761,02-10-2022,,02-10-2022,24,5,0,691.43,3457.14,3457.14
762,02-10-2022,,02-10-2022,30,105,0,428.57,45000,45000
763,02-10-2022,,02-10-2022,24,50,0,275,13750,13750
764,02-10-2022,,02-10-2022,30,100,0,428.57,42857.14,42857.14
765,02-10-2022,,02-10-2022,30,98,0,428.57,42000,42000
766,02-10-2022,,02-10-2022,24,360,0,255.08,91830.51,91830.51
767,02-10-2022,,02-10-2022,9,30,0,513.21,15396.43,15396.43
768,02-10-2022,,02-10-2022,9,20,0,498.93,9978.57,9978.57
769,02-10-2022,,02-10-2022,24,40,0,287.86,11514.29,11514.29
770,02-10-2022,,02-10-2022,24,100,0,273.57,27357.14,27357.14
771,02-10-2022,,02-10-2022,24,200,0,287.86,57571.43,57571.43
772,02-10-2022,,02-10-2022,24,100,0,273.57,27357.14,27357.14
773,02-10-2022,,02-10-2022,24,100,0,273.57,27357.14,27357.14
774,02-10-2022,,02-10-2022,24,150,0,273.57,41035.71,41035.71
775,02-10-2022,,02-10-2022,24,110,0,273.57,30092.86,30092.86
776,02-10-2022,,02-10-2022,24,40,0,561.07,22442.86,22442.86
777,02-10-2022,,02-10-2022,24,50,0,546.79,27339.29,27339.29
778,02-10-2022,,02-10-2022,24,50,0,250.89,12544.64,12544.64
779,02-10-2022,,02-10-2022,24,50,0,250.89,12544.64,12544.64
780,02-10-2022,,02-10-2022,12,3,0,866.07,2598.21,2598.21
781,02-10-2022,,02-10-2022,15,20,0,447.14,8942.86,8942.86
782,02-10-2022,,02-10-2022,30,2,0,468.75,937.5,937.5
783,02-10-2022,,02-10-2022,30,102,0,148.31,15127.12,15127.12
784,02-10-2022,,02-10-2022,30,20,0,468.75,9375,9375
785,02-10-2022,,02-10-2022,30,10,0,450.89,4508.93,4508.93
786,02-10-2022,,02-10-2022,30,20,0,450.89,9017.86,9017.86
787,02-10-2022,,02-10-2022,30,10,0,450.89,4508.93,4508.93
788,02-10-2022,,02-10-2022,30,100,0,131.36,13135.59,13135.59
789,02-10-2022,,02-10-2022,24,50,0,150.71,7535.71,7535.71
790,02-10-2022,,02-10-2022,24,50,0,150.71,7535.71,7535.71
791,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
792,02-10-2022,,02-10-2022,24,25,0,136.43,3410.71,3410.71
793,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
794,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
795,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
796,02-10-2022,,02-10-2022,12,5,0,779.46,3897.32,3897.32
797,02-10-2022,,02-10-2022,24,2,0,289.29,578.57,578.57
798,02-10-2022,,02-10-2022,24,50,0,701.34,35066.96,35066.96
799,02-10-2022,,02-10-2022,24,40,0,683.48,27339.29,27339.29
800,02-10-2022,,02-10-2022,12,20,0,662.5,13250,13250
801,02-10-2022,,02-10-2022,24,50,0,683.48,34174.11,34174.11
802,02-10-2022,,02-10-2022,24,50,0,683.48,34174.11,34174.11
803,02-10-2022,,02-10-2022,24,50,0,683.48,34174.11,34174.11
